,COUNTRY:,CODE:,ECR/EFDD 2014,EPP 2014,ALDE 2014,Greens/EFA 2014,S&D 2014,GUE/NGL 2014,NI/Unknown 2014,2013 GDP (PPP) International Dollars,2014 GDP (PPP) International Dollars,2014: Age 0-14,2014: Age 15-24,2014: Age 25-49,2014: Age 50-64,2014: Age 65-79,2014: Age 80+,2014: Age 15-64 Education Levels 0-2,2014: Age 15-64 Education Levels 3-4,2014: Age 15-64 Education Levels 5-8,2014: Age 20-24 Education Levels 0-2,2014: Age 20-24 Education Levels 3-4,2014: Age 20-24 Education Levels 5-8,2014: Age 25-34 Education Levels 0-2,2014: Age 25-34 Education Levels 3-4,2014: Age 25-34 Education Levels 5-8,2014: Age 25-64 Education Levels 0-2,2014: Age 25-64 Education Levels 3-4,2014: Age 25-64 Education Levels 5-8,2014: Age 30-34 Education Levels 0-2,2014: Age 30-34 Education Levels 3-4,2014: Age 30-34 Education Levels 5-8,2014: Age 35-44 Education Levels 0-2,2014: Age 35-44 Education Levels 3-4,2014: Age 35-44 Education Levels 5-8,2014: Age 45-54 Education Levels 0-2,2014: Age 45-54 Education Levels 3-4,2014: Age 45-54 Education Levels 5-8,2014: Age 45-64 Education Levels 0-2,2014: Age 45-64 Education Levels 3-4,2014: Age 45-64 Education Levels 5-8,2014: Age 55-64 Education Levels 0-2,2014: Age 55-64 Education Levels 3-4,2014: Age 55-64 Education Levels 5-8,2013: Total Immigration,2013: EU27 Immigration,2013: Non-EU27 Immigration,2013: Unknown Immigration,2014: Total Immigration,2014: EU27 Immigration,2014: Non-EU27 Immigration,2014: Unknown Immigration,2013: EU27 Immigration (Percent of Total Population),2013: EU28 Immigration (Percent of Total Population),2013: Non-EU27 Immigration (Percent of Total Population),2013: Non-EU28 Immigration (Percent of Total Population),2013: Foreign country Immigration (Percent of Total Population),2014: EU27 Immigration (Percent of Total Population),2014: EU28 Immigration (Percent of Total Population),2014: Non-EU27 Immigration (Percent of Total Population),2014: Non-EU28 Immigration (Percent of Total Population),2014: Foreign country Immigration (Percent of Total Population),2014: Satisfied with Life,2014: Not Satisfied with Life,2014: Yes Feel Like EU Citizen,2014: No Feel Like EU Citizen,2014: Left Political Views,2014: Center Political Views,2014: Right Political Views,"2014: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,"2014: Personal: The environment, climate and energy issues .1",2014: EU: The environment.1,2014: EU: Energy supply.1,2014: EU: Climate change.1,2014: Positive EU Opinion,2014: Negative EU Opinion,2014: Agree Country Better Off if Left EU,2014: Disagree Country Better Off if Left EU,GDP (PPP) Percent Change 2013-2014,Total Immigration Change 2013-2014,EU27 Immigration Change 2013-2014,Non-EU27 Immigration Change 2013-2014,Unknown Immigration Change 2013-2014
12,Croatia,HR,0.1798624522093125,0.2306681664205357,0.1068090439627768,0.023543838935373394,0.2334811360635558,0.0024414453505457404,0.22319391705790012,28841.68,30551.85,0.14400000000000002,0.109,0.325,0.21600000000000003,0.152,0.053,0.18100000000000002,0.599,0.22,0.027000000000000003,0.856,0.11699999999999999,0.044000000000000004,0.601,0.355,0.142,0.605,0.253,0.057999999999999996,0.61,0.331,0.084,0.612,0.305,0.171,0.649,0.18,0.21600000000000003,0.604,0.18,0.255,0.564,0.18100000000000002,26029.0,6040.0,19570.0,419.0,37726.0,7359.0,29861.0,506.0,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.75,0.25,0.64,0.36,0.31,0.34,0.22,0.05,0.05,0.06,0.14,0.05,0.05,0.06,0.14,0.43,0.13,0.4,0.51,0.05929508960643063,0.449383380076069,0.2183774834437086,0.5258559018906489,-45.498806682577566
13,Hungary,HU,0.03289261751541391,0.5256260794348818,0.09926680547207574,0.021753800388755032,0.2266581301147997,0.004164162272090489,0.0896384048019833,32253.94,34343.64,0.145,0.107,0.358,0.196,0.149,0.044000000000000004,0.2,0.5760000000000001,0.225,0.134,0.7879999999999999,0.077,0.127,0.568,0.306,0.15,0.59,0.26,0.12,0.546,0.33399999999999996,0.13699999999999998,0.56,0.303,0.147,0.62,0.233,0.16899999999999998,0.618,0.213,0.193,0.615,0.192,82937.0,32557.0,50301.0,79.0,88581.0,32788.0,55709.0,84.0,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.003,0.003,0.005,0.76,0.24,0.84,0.15,0.16,0.3,0.38,0.09,0.07,0.08,0.22,0.09,0.07,0.08,0.22,0.52,0.11,0.37,0.58,0.06478898391948397,0.06805165366482993,0.0070952483336916795,0.10751277310590247,-635.6582278481013
14,Ireland,IE,0.018711527929330285,0.3053927793931239,0.16549732032660253,0.11367977292054901,0.04355415335967815,0.2667408818696987,0.08642356420101754,85759.36,90405.34,0.205,0.126,0.35600000000000004,0.172,0.10800000000000001,0.033,0.21,0.38299999999999995,0.40700000000000003,0.059000000000000004,0.6679999999999999,0.273,0.07400000000000001,0.371,0.5539999999999999,0.163,0.364,0.473,0.084,0.361,0.5539999999999999,0.102,0.354,0.544,0.19,0.371,0.44,0.248,0.365,0.386,0.319,0.359,0.322,97712.0,31319.0,66393.0,0.0,85630.0,27691.0,57939.0,0.0,0.023,0.027999999999999997,0.032,0.027000000000000003,0.054000000000000006,0.022000000000000002,0.027000000000000003,0.035,0.03,0.055999999999999994,0.93,0.07,0.85,0.14,0.24,0.49,0.1,0.14,0.17,0.07,0.33,0.14,0.17,0.07,0.33,0.63,0.1,0.3,0.62,0.0541746113776968,-0.12364909120681186,-0.11584022478367764,-0.12733270073652342,
15,Italy,IT,0.4118774784634195,0.10039459773567029,0.0311175081948998,0.031458312082871795,0.22737133869171033,0.026340055971288842,0.17144070886013943,43610.31,44702.85,0.132,0.098,0.32299999999999995,0.21899999999999997,0.157,0.07200000000000001,0.39799999999999996,0.428,0.174,0.18,0.7190000000000001,0.10099999999999999,0.23800000000000002,0.484,0.27699999999999997,0.37799999999999995,0.425,0.196,0.267,0.457,0.276,0.317,0.446,0.23800000000000002,0.423,0.41200000000000003,0.165,0.457,0.395,0.14800000000000002,0.49700000000000005,0.375,0.128,332324.0,65794.0,266530.0,0.0,332778.0,69705.0,263073.0,0.0,0.002,0.002,0.006999999999999999,0.006999999999999999,0.008,0.002,0.002,0.006999999999999999,0.006999999999999999,0.008,0.7,0.29,0.57,0.41,0.22,0.25,0.23,0.09,0.08,0.06,0.15,0.09,0.08,0.06,0.15,0.38,0.2,0.44,0.46,0.02505233280845747,0.0013661366618119666,0.059443110314010394,-0.012970397328630923,
16,Lithuania,LT,0.12238462674034131,0.2625024405652905,0.22624952974473672,0.14822128426910824,0.1823963414537356,0.0,0.05824577722678764,36363.0,38809.06,0.151,0.105,0.327,0.21899999999999997,0.14,0.057999999999999996,0.111,0.51,0.379,0.075,0.736,0.18899999999999997,0.059000000000000004,0.39,0.552,0.05,0.518,0.431,0.057999999999999996,0.364,0.578,0.07400000000000001,0.389,0.537,0.038,0.602,0.36,0.036000000000000004,0.632,0.332,0.035,0.6609999999999999,0.304,28914.0,6090.0,22801.0,23.0,40067.0,7331.0,32709.0,27.0,,,0.002,0.002,0.003,,,0.003,0.003,0.003,0.8,0.2,0.8,0.19,0.21,0.31,0.16,0.04,0.04,0.03,0.22,0.04,0.04,0.03,0.22,0.53,0.05,0.19,0.73,0.06726782718697571,0.3857300961471951,0.20377668308702793,0.43454234463400726,-990.1739130434783
17,Luxembourg,LU,0.10574291492972927,0.21099554116312425,0.21437972899391963,0.2872190904865657,0.12189453930002718,0.059768185126633996,0.0,119506.21,123205.42,0.161,0.11599999999999999,0.382,0.198,0.10400000000000001,0.04,0.267,0.32299999999999995,0.41,0.225,0.556,0.21899999999999997,0.12300000000000001,0.316,0.561,0.207,0.32299999999999995,0.47,0.132,0.307,0.562,0.149,0.292,0.5579999999999999,0.247,0.33399999999999996,0.42,0.28600000000000003,0.344,0.37,0.335,0.35700000000000004,0.308,24644.0,22869.0,1775.0,0.0,26668.0,24359.0,2309.0,0.0,0.10300000000000001,0.106,0.039,0.037000000000000005,0.14300000000000002,0.10400000000000001,0.106,0.046,0.043,0.15,0.95,0.04,0.93,0.04,0.26,0.38,0.06,0.2,0.15,0.05,0.33,0.2,0.15,0.05,0.33,0.57,0.12,0.25,0.66,0.030954123639265203,0.08212952442785262,0.06515370151733788,0.3008450704225352,
18,Latvia,LV,0.17811503634740466,0.367153424308124,0.183494877354079,0.09193342685881903,0.17754112995791352,0.0017621051736598223,0.0,30668.56,32232.87,0.159,0.092,0.33799999999999997,0.209,0.147,0.055999999999999994,0.149,0.5379999999999999,0.314,0.129,0.764,0.10800000000000001,0.098,0.46299999999999997,0.43799999999999994,0.08800000000000001,0.5539999999999999,0.35700000000000004,0.09699999999999999,0.446,0.457,0.132,0.478,0.39,0.067,0.606,0.327,0.063,0.635,0.302,0.059000000000000004,0.6629999999999999,0.278,10909.0,2294.0,8615.0,0.0,11223.0,2531.0,8692.0,0.0,,,0.004,0.004,0.005,,,0.003,0.003,0.004,0.8,0.2,0.76,0.22,0.1,0.37,0.24,0.04,0.06,0.01,0.12,0.04,0.06,0.01,0.12,0.44,0.09,0.24,0.6,0.0510069595703221,0.028783573196443302,0.1033129904097646,0.00893789901334881,
19,Malta,MT,0.03917959202496425,0.37896407544617466,0.0,0.027446851029160835,0.5428919496410619,0.0,0.011517531858638342,47205.99,49026.31,0.13699999999999998,0.11,0.385,0.182,0.145,0.042,0.38799999999999996,0.342,0.27,0.17800000000000002,0.595,0.22699999999999998,0.245,0.34700000000000003,0.408,0.42200000000000004,0.28300000000000003,0.295,0.26,0.35100000000000003,0.389,0.36700000000000005,0.294,0.33899999999999997,0.496,0.268,0.23600000000000002,0.588,0.22899999999999998,0.183,0.677,0.191,0.132,26444.0,9713.0,16731.0,0.0,28341.0,8271.0,20070.0,0.0,0.022000000000000002,0.027000000000000003,0.036000000000000004,0.031,0.057999999999999996,0.027999999999999997,0.037000000000000005,0.055999999999999994,0.047,0.084,0.94,0.06,0.81,0.15,0.29,0.23,0.12,0.33,0.26,0.01,0.22,0.33,0.26,0.01,0.22,0.47,0.07,0.16,0.69,0.03856120801618608,0.07173649977310544,-0.14846082569751878,0.19956966110812266,
20,Netherlands,NL,0.18058216967365023,0.19509284873821645,0.21732132395190595,0.13196611088809312,0.1901254189620491,0.08491212778608512,0.0,57839.93,59674.84,0.159,0.12300000000000001,0.318,0.209,0.146,0.046,0.255,0.397,0.348,0.17800000000000002,0.612,0.21,0.124,0.385,0.491,0.204,0.392,0.40399999999999997,0.13,0.35600000000000004,0.514,0.157,0.376,0.467,0.218,0.42,0.36200000000000004,0.262,0.401,0.337,0.309,0.381,0.31,194306.0,89278.0,103724.0,1304.0,215756.0,98761.0,115765.0,1230.0,0.004,0.004,0.009000000000000001,0.009000000000000001,0.013000000000000001,0.003,0.004,0.011000000000000001,0.011000000000000001,0.013999999999999999,0.95,0.05,0.77,0.23,0.4,0.34,0.23,0.34,0.15,0.04,0.33,0.34,0.15,0.04,0.33,0.5,0.17,0.09,0.87,0.03172393189272525,0.1103928854487252,0.10621877730235893,0.11608692298792951,-78.59969325153374
21,Poland,PL,0.49986902181682535,0.3395793467698841,0.0,0.0,0.14802491461171693,0.01236470686423135,0.0001620099373422354,32532.2,34688.97,0.154,0.10300000000000001,0.37,0.19699999999999998,0.133,0.044000000000000004,0.133,0.585,0.282,0.092,0.78,0.128,0.06,0.506,0.435,0.07400000000000001,0.606,0.32,0.049,0.484,0.466,0.054000000000000006,0.529,0.41700000000000004,0.079,0.674,0.248,0.09300000000000001,0.705,0.20199999999999999,0.106,0.7340000000000001,0.16,214083.0,100768.0,113315.0,0.0,226649.0,97020.0,129629.0,0.0,0.002,0.002,0.006999999999999999,0.006999999999999999,0.009000000000000001,0.002,0.002,0.006999999999999999,0.006999999999999999,0.009000000000000001,0.86,0.11,0.84,0.15,0.14,0.27,0.34,0.07,0.11,0.08,0.17,0.07,0.11,0.08,0.17,0.54,0.07,0.47,0.45,0.06629646934421897,0.05869686056342634,-0.037194347411876785,0.14397034814455278,
22,Portugal,PT,0.021281294851636996,0.3021178660827354,0.045844604941828265,0.07420212601834227,0.361527051373201,0.1906397769853594,0.004387279746896701,34897.55,36465.95,0.13699999999999998,0.106,0.32899999999999996,0.209,0.154,0.064,0.47600000000000003,0.287,0.23800000000000002,0.171,0.608,0.22,0.248,0.379,0.374,0.478,0.259,0.263,0.292,0.34600000000000003,0.36200000000000004,0.369,0.297,0.33399999999999996,0.551,0.23199999999999998,0.217,0.62,0.195,0.185,0.695,0.154,0.151,43170.0,12841.0,30319.0,10.0,72725.0,16145.0,56577.0,3.0,0.001,0.001,0.006999999999999999,0.006999999999999999,0.008,0.001,0.001,0.013999999999999999,0.013999999999999999,0.015,0.75,0.25,0.84,0.16,0.24,0.25,0.16,0.03,0.07,0.01,0.12,0.03,0.07,0.01,0.12,0.6,0.05,0.21,0.71,0.044942983103398206,0.6846189483437572,0.25730083326843706,0.8660575876513078,-3031.6
23,Romania,RO,0.005709814371219192,0.3801561927014665,0.2647236075856836,0.0,0.29835888730782145,0.004458191130983607,0.046593306902825656,29281.84,31244.36,0.157,0.106,0.35600000000000004,0.19699999999999998,0.139,0.047,0.251,0.589,0.16,0.166,0.762,0.07200000000000001,0.22,0.524,0.255,0.21,0.606,0.184,0.233,0.509,0.258,0.205,0.5539999999999999,0.24100000000000002,0.165,0.691,0.14400000000000002,0.20800000000000002,0.672,0.121,0.258,0.648,0.094,172578.0,95342.0,75464.0,1772.0,202422.0,97955.0,101919.0,2548.0,,,,,,,,,,,0.6,0.4,0.73,0.24,0.2,0.25,0.29,0.08,0.12,0.08,0.15,0.08,0.12,0.08,0.15,0.6,0.1,0.39,0.53,0.06702174453517949,0.1729305009908563,0.027406599400054542,0.35056450757977314,-41.1489841986456
24,Sweden,SE,0.16038582956449365,0.2547179686787631,0.14920146391253158,0.12340042731592336,0.24263542817754458,0.06876737552586008,0.0008915068248836209,54123.64,55656.2,0.17800000000000002,0.113,0.32899999999999996,0.18100000000000002,0.14800000000000002,0.051,0.20800000000000002,0.415,0.37799999999999995,0.154,0.655,0.191,0.114,0.402,0.484,0.139,0.42100000000000004,0.44,0.11699999999999999,0.358,0.525,0.142,0.32899999999999996,0.529,0.124,0.465,0.41100000000000003,0.152,0.479,0.369,0.183,0.496,0.321,132602.0,33610.0,95900.0,3092.0,115805.0,30684.0,83430.0,1691.0,0.008,0.008,0.043,0.042,0.05,0.009000000000000001,0.009000000000000001,0.047,0.046,0.055,0.97,0.03,0.83,0.17,0.4,0.26,0.32,0.36,0.26,0.09,0.48,0.36,0.26,0.09,0.48,0.5,0.17,0.21,0.74,0.028315907799253665,-0.12667229755207313,-0.08705742338589706,-0.1300312825860271,-30.46862871927555
25,Slovenia,SI,0.057109370948503865,0.37370741067261315,0.267493647254058,0.022208162630296117,0.18656018254420992,0.06427008245604937,0.028651143494269563,39198.63,40919.23,0.151,0.094,0.341,0.21600000000000003,0.145,0.053,0.158,0.5489999999999999,0.293,0.076,0.8170000000000001,0.107,0.049,0.511,0.441,0.11199999999999999,0.555,0.33299999999999996,0.055,0.496,0.449,0.069,0.531,0.4,0.136,0.5760000000000001,0.28800000000000003,0.16,0.586,0.253,0.18600000000000003,0.597,0.217,28455.0,5666.0,22789.0,0.0,31319.0,5038.0,26281.0,0.0,0.001,0.001,0.012,0.012,0.013000000000000001,0.001,0.001,0.013000000000000001,0.013000000000000001,0.015,0.92,0.08,0.77,0.23,0.22,0.29,0.18,0.06,0.11,0.05,0.17,0.06,0.11,0.05,0.17,0.44,0.15,0.48,0.48,0.043894391207039786,0.10065014935863645,-0.1108365690081186,0.1532318223704419,
26,Slovakia,SK,0.2292610177745313,0.3286193287882477,0.10056762843925006,0.007958972485999513,0.160409057706355,0.006754727700673647,0.1664292671049428,32792.64,34203.01,0.157,0.10400000000000001,0.381,0.19699999999999998,0.127,0.033,0.145,0.623,0.231,0.10099999999999999,0.741,0.158,0.091,0.517,0.392,0.086,0.6559999999999999,0.258,0.095,0.505,0.401,0.075,0.6579999999999999,0.267,0.066,0.737,0.19699999999999998,0.09,0.731,0.179,0.115,0.7240000000000001,0.161,7253.0,4696.0,2557.0,0.0,7016.0,4239.0,2777.0,0.0,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.82,0.17,0.8,0.18,0.23,0.33,0.23,0.07,0.11,0.06,0.14,0.07,0.11,0.06,0.14,0.36,0.15,0.35,0.52,0.04300873610663864,-0.03267613401351165,-0.0973168654173765,0.08603832616347282,
27,United Kingdom,UK,0.4416073660770996,0.03324615881653195,0.20387872046653902,0.16542203208153222,0.14172532288998782,0.009008821499871833,0.005111578168437492,48163.69,49575.6,0.179,0.11800000000000001,0.32799999999999996,0.191,0.134,0.05,0.191,0.402,0.406,0.141,0.5539999999999999,0.305,0.139,0.36700000000000005,0.494,0.18899999999999997,0.364,0.447,0.14,0.36,0.5,0.145,0.34600000000000003,0.509,0.21899999999999997,0.364,0.41700000000000004,0.237,0.371,0.392,0.256,0.37799999999999995,0.365,603953.0,225498.0,378455.0,0.0,680906.0,207968.0,472938.0,0.0,0.017,0.017,0.018000000000000002,0.018000000000000002,0.035,0.015,0.015,0.019,0.019,0.034,0.9,0.1,0.58,0.4,0.29,0.4,0.14,0.15,0.13,0.03,0.19,0.15,0.13,0.03,0.19,0.38,0.31,0.42,0.45,0.029314822016336294,0.1274155439247756,-0.07773904868335861,0.24965451638900266,
