COUNTRY:,CODE:,2013 GDP (PPP) International Dollars,2014 GDP (PPP) International Dollars,2018 GDP (PPP) International Dollars,2019 GDP (PPP) International Dollars,2014: Age 0-14,2014: Age 15-24,2014: Age 25-49,2014: Age 50-64,2014: Age 65-79,2014: Age 80+,2019: Age 0-14,2019: Age 15-24,2019: Age 25-49,2019: Age 50-64,2019: Age 65-79,2019: Age 80+,2014: Age 15-64 Education Levels 0-2,2014: Age 15-64 Education Levels 3-4,2014: Age 15-64 Education Levels 5-8,2014: Age 20-24 Education Levels 0-2,2014: Age 20-24 Education Levels 3-4,2014: Age 20-24 Education Levels 5-8,2014: Age 25-34 Education Levels 0-2,2014: Age 25-34 Education Levels 3-4,2014: Age 25-34 Education Levels 5-8,2014: Age 25-64 Education Levels 0-2,2014: Age 25-64 Education Levels 3-4,2014: Age 25-64 Education Levels 5-8,2014: Age 30-34 Education Levels 0-2,2014: Age 30-34 Education Levels 3-4,2014: Age 30-34 Education Levels 5-8,2014: Age 35-44 Education Levels 0-2,2014: Age 35-44 Education Levels 3-4,2014: Age 35-44 Education Levels 5-8,2014: Age 45-54 Education Levels 0-2,2014: Age 45-54 Education Levels 3-4,2014: Age 45-54 Education Levels 5-8,2014: Age 45-64 Education Levels 0-2,2014: Age 45-64 Education Levels 3-4,2014: Age 45-64 Education Levels 5-8,2014: Age 55-64 Education Levels 0-2,2014: Age 55-64 Education Levels 3-4,2014: Age 55-64 Education Levels 5-8,2019: Age 15-64 Education Levels 0-2,2019: Age 15-64 Education Levels 3-4,2019: Age 15-64 Education Levels 5-8,2019: Age 20-24 Education Levels 0-2,2019: Age 20-24 Education Levels 3-4,2019: Age 20-24 Education Levels 5-8,2019: Age 25-34 Education Levels 0-2,2019: Age 25-34 Education Levels 3-4,2019: Age 25-34 Education Levels 5-8,2019: Age 25-64 Education Levels 0-2,2019: Age 25-64 Education Levels 3-4,2019: Age 25-64 Education Levels 5-8,2019: Age 30-34 Education Levels 0-2,2019: Age 30-34 Education Levels 3-4,2019: Age 30-34 Education Levels 5-8,2019: Age 35-44 Education Levels 0-2,2019: Age 35-44 Education Levels 3-4,2019: Age 35-44 Education Levels 5-8,2019: Age 45-54 Education Levels 0-2,2019: Age 45-54 Education Levels 3-4,2019: Age 45-54 Education Levels 5-8,2019: Age 45-64 Education Levels 0-2,2019: Age 45-64 Education Levels 3-4,2019: Age 45-64 Education Levels 5-8,2019: Age 55-64 Education Levels 0-2,2019: Age 55-64 Education Levels 3-4,2019: Age 55-64 Education Levels 5-8,2013: Total Immigration,2013: EU27 Immigration,2013: Non-EU27 Immigration,2013: Unknown Immigration,2014: Total Immigration,2014: EU27 Immigration,2014: Non-EU27 Immigration,2014: Unknown Immigration,2018: Total Immigration,2018: EU27 Immigration,2018: Non-EU27 Immigration,2018: Unknown Immigration,2019: Total Immigration,2019: EU27 Immigration,2019: Non-EU27 Immigration,2019: Unknown Immigration,2013: EU27 Immigration (Percent of Total Population),2013: EU28 Immigration (Percent of Total Population),2013: Non-EU27 Immigration (Percent of Total Population),2013: Non-EU28 Immigration (Percent of Total Population),2013: Foreign country Immigration (Percent of Total Population),2014: EU27 Immigration (Percent of Total Population),2014: EU28 Immigration (Percent of Total Population),2014: Non-EU27 Immigration (Percent of Total Population),2014: Non-EU28 Immigration (Percent of Total Population),2014: Foreign country Immigration (Percent of Total Population),2018: EU27 Immigration (Percent of Total Population),2018: EU28 Immigration (Percent of Total Population),2018: Non-EU27 Immigration (Percent of Total Population),2018: Non-EU28 Immigration (Percent of Total Population),2018: Foreign country Immigration (Percent of Total Population),2019: EU27 Immigration (Percent of Total Population),2019: EU28 Immigration (Percent of Total Population),2019: Non-EU27 Immigration (Percent of Total Population),2019: Non-EU28 Immigration (Percent of Total Population),2019: Foreign country Immigration (Percent of Total Population),2014: Satisfied with Life,2014: Not Satisfied with Life,2019: Satisfied with Life,2019: Not satisfied with Life,2014: Yes Feel Like EU Citizen,2014: No Feel Like EU Citizen,2019: Yes Feel Like EU Citizen,2019: No Feel Like EU Citizen,2014: Left Political Views,2014: Center Political Views,2014: Right Political Views,2019: Left Political Views,2019: Center Political Views,2019: Right Political Views,"2014: Personal: The environment, climate and energy issues ","2019: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,2019: EU: The environment,2019: EU: Energy supply,2019: EU: Climate change,"2014: Personal: The environment, climate and energy issues ","2019: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,2019: EU: The environment,2019: EU: Energy supply,2019: EU: Climate change,2014: Positive EU Opinion,2014: Negative EU Opinion,2019: Positive EU Opinion,2019: Negative EU Opinion,2014: Agree Country Better Off if Left EU,2014: Disagree Country Better Off if Left EU,2019: Agree Country Better Off if Left EU,2019: Disagree Country Better Off if Left EU
EU28,EU28,:,:,:,:,15.60%,11.30%,34.70%,19.90%,13.40%,5.10%,15.50%,10.80%,33.20%,20.50%,14.30%,5.70%,27.50%,46.50%,26.00%,17.80%,65.20%,17.10%,16.90%,45.90%,37.20%,24.10%,46.60%,29.30%,17.20%,44.80%,37.90%,20.50%,46.10%,33.40%,26.00%,48.70%,25.30%,29.40%,47.20%,23.40%,33.10%,45.50%,21.30%,24.90%,45.60%,29.50%,16.10%,65.00%,18.90%,15.20%,43.90%,40.90%,21.30%,45.50%,33.30%,15.90%,42.50%,41.60%,17.80%,43.40%,38.70%,22.90%,47.20%,29.90%,25.70%,47.20%,27.20%,28.60%,47.20%,24.20%,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.40%,0.40%,0.80%,0.70%,1.40%,0.40%,0.50%,0.70%,0.70%,1.50%,0.70%,0.70%,1.30%,1.30%,2.00%,0.70%,0.70%,1.40%,1.40%,2.10%,80%,20%,84%,16%,65%,34%,73%,26%,27%,36%,18%,29%,33%,19%,7%,14%,5%,6%,5%,13%,5%,22%,7%,14%,5%,6%,5%,13%,5%,22%,35%,25%,45%,17%,31%,56%,32%,59%
Belgium,BE,"$43,755.16 ","$45,043.18 ","$52,665.78 ","$54,488.09 ",17.00%,11.90%,33.60%,19.70%,12.50%,5.30%,16.90%,11.40%,32.70%,20.10%,13.30%,5.60%,29.50%,37.80%,32.60%,15.60%,58.40%,25.90%,17.70%,38.00%,44.20%,26.40%,36.70%,36.90%,18.30%,37.90%,43.80%,19.60%,38.20%,42.20%,27.60%,37.90%,34.50%,34.00%,35.30%,30.70%,41.30%,32.30%,26.30%,25.90%,38.10%,36.00%,14.40%,57.80%,27.80%,14.80%,37.90%,47.30%,21.30%,38.00%,40.70%,14.90%,37.50%,47.50%,16.30%,37.10%,46.60%,21.20%,40.50%,38.30%,26.90%,38.50%,34.60%,32.80%,36.40%,30.80%,120078,73249,46381,448,123158,74729,47820,609,137860,74187,63218,455,150006,79464,69995,547,1.50%,1.50%,1.90%,1.90%,3.40%,1.90%,1.90%,2.10%,2.00%,3.90%,1.20%,1.20%,1.30%,1.30%,2.60%,1.30%,1.30%,1.40%,1.40%,2.70%,93%,7%,91%,9%,71%,29%,81%,19%,23%,42%,26%,32%,39%,25%,12%,18%,6%,5%,7%,16%,7%,28%,12%,18%,6%,5%,7%,16%,7%,28%,40%,23%,38%,19%,24%,70%,37%,60%
Bulgaria,BG,"$16,691.70 ","$17,670.06 ","$22,889.87 ","$24,409.41 ",13.70%,10.40%,35.20%,21.10%,15.10%,4.40%,14.40%,8.90%,35.00%,20.40%,16.50%,4.80%,22.60%,53.80%,23.60%,14.20%,77.30%,8.60%,18.00%,50.70%,31.30%,18.90%,54.10%,27.00%,17.90%,51.20%,30.90%,16.00%,54.50%,29.50%,17.40%,58.40%,24.30%,20.90%,55.50%,23.60%,24.30%,52.80%,22.90%,21.90%,53.50%,24.70%,15.60%,78.20%,6.30%,17.60%,49.70%,32.70%,17.50%,54.30%,28.10%,17.80%,49.70%,32.50%,17.60%,52.30%,30.10%,16.30%,57.50%,26.20%,17.50%,57.50%,25.00%,18.80%,57.60%,23.60%,18570,3568,14856,146,26615,4410,22159,46,29559,8614,20913,32,37929,10161,27755,13,:,:,:,:,:,:,:,:,:,0.10%,:,:,0.10%,0.10%,0.10%,:,:,:,:,0.10%,44%,56%,48%,49%,46%,53%,52%,46%,23%,32%,19%,24%,23%,29%,3%,5%,7%,9%,5%,6%,6%,10%,3%,5%,7%,9%,5%,6%,6%,10%,54%,13%,59%,11%,28%,53%,29%,52%
Czechia,CZ,"$30,812.68 ","$32,542.45 ","$41,120.36 ","$42,963.05 ",15.00%,10.70%,37.10%,19.80%,13.40%,3.90%,15.90%,9.10%,36.70%,18.80%,15.50%,4.10%,12.40%,68.50%,19.10%,9.30%,79.90%,10.70%,5.40%,64.70%,29.90%,6.80%,71.70%,21.50%,4.90%,66.90%,28.20%,4.10%,74.70%,21.20%,5.90%,74.60%,19.60%,9.20%,73.50%,17.30%,12.40%,72.40%,15.10%,12.30%,66.10%,21.60%,11.70%,78.00%,10.40%,7.00%,60.40%,32.60%,6.20%,69.50%,24.20%,6.60%,58.30%,35.10%,5.10%,68.10%,26.70%,4.70%,76.00%,19.30%,6.50%,74.90%,18.60%,8.60%,73.70%,17.70%,30124,15695,14429,0,29897,16260,13637,0,65910,17773,48137,0,105888,30138,75750,0,0.20%,0.20%,0.10%,0.10%,0.30%,0.20%,0.20%,0.10%,0.10%,0.30%,0.20%,0.20%,0.20%,0.20%,0.40%,0.20%,0.30%,0.20%,0.20%,0.50%,79%,21%,86%,14%,57%,43%,58%,41%,28%,34%,25%,20%,46%,25%,6%,9%,7%,8%,4%,11%,3%,13%,6%,9%,7%,8%,4%,11%,3%,13%,29%,28%,29%,27%,38%,52%,37%,54%
Denmark,DK,"$46,829.47 ","$48,039.69 ","$57,812.09 ","$59,832.96 ",17.20%,12.90%,32.50%,19.10%,14.10%,4.20%,16.50%,12.60%,31.70%,19.60%,15.00%,4.50%,28.70%,41.90%,29.40%,26.40%,65.40%,8.20%,19.30%,39.10%,41.60%,21.10%,43.30%,35.70%,17.80%,38.60%,43.60%,16.80%,42.90%,40.30%,19.60%,47.60%,32.80%,23.90%,45.30%,30.80%,28.90%,42.60%,28.50%,26.00%,40.60%,33.40%,24.20%,66.10%,9.70%,17.60%,35.30%,47.10%,18.40%,41.20%,40.40%,17.00%,33.60%,49.40%,15.30%,38.20%,46.50%,16.40%,46.00%,37.60%,20.20%,45.40%,34.40%,24.50%,44.80%,30.80%,60312,27226,32684,402,68388,29313,38608,467,64669,29683,34459,527,61384,28223,32652,509,0.80%,0.80%,1.30%,1.20%,2.00%,0.80%,0.90%,1.30%,1.20%,2.10%,0.70%,0.80%,1.50%,1.50%,2.20%,0.70%,0.70%,1.50%,1.50%,2.20%,98%,2%,98%,2%,73%,26%,82%,18%,33%,28%,34%,39%,31%,26%,11%,28%,11%,5%,15%,27%,3%,49%,11%,28%,11%,5%,15%,27%,3%,49%,35%,26%,54%,13%,21%,73%,15%,80%
Germany,DE,"$44,993.67 ","$47,011.14 ","$55,076.88 ","$56,523.39 ",13.20%,10.80%,33.50%,21.70%,15.50%,5.40%,13.60%,10.40%,31.60%,22.80%,15.10%,6.50%,19.70%,57.10%,23.20%,22.90%,71.20%,5.90%,12.70%,58.90%,28.40%,13.10%,59.80%,27.10%,12.50%,56.00%,31.40%,13.00%,58.50%,28.50%,12.60%,61.30%,26.20%,13.30%,60.80%,25.90%,14.20%,60.30%,25.50%,19.50%,54.50%,26.00%,22.50%,68.60%,8.80%,13.20%,53.50%,33.30%,13.40%,56.80%,29.90%,13.00%,51.50%,35.50%,13.70%,53.70%,32.60%,13.10%,59.10%,27.80%,13.30%,59.40%,27.30%,13.40%,59.60%,26.90%,692713,393915,295027,3771,884893,457361,417011,10521,893886,395075,394542,104269,886341,371614,407487,107240,:,:,:,:,1.50%,:,:,:,:,1.90%,1.40%,1.40%,2.30%,2.30%,3.70%,1.30%,1.30%,2.30%,2.30%,3.60%,91%,9%,91%,9%,79%,20%,88%,11%,30%,44%,13%,37%,45%,9%,9%,21%,4%,9%,6%,15%,6%,31%,9%,21%,4%,9%,6%,15%,6%,31%,36%,20%,51%,12%,22%,69%,16%,78%
Estonia,EE,"$27,464.52 ","$28,927.86 ","$36,022.42 ","$38,028.51 ",15.80%,11.20%,34.70%,20.00%,13.50%,4.90%,16.40%,9.50%,34.90%,19.40%,14.10%,5.60%,17.70%,49.70%,32.60%,17.00%,69.00%,14.10%,12.90%,46.50%,40.60%,11.80%,50.60%,37.60%,12.70%,44.10%,43.20%,13.40%,47.90%,38.70%,7.70%,57.20%,35.10%,10.40%,54.30%,35.40%,13.10%,51.20%,35.70%,17.10%,48.20%,34.70%,17.40%,69.40%,13.20%,13.10%,46.30%,40.60%,11.00%,49.50%,39.50%,13.80%,42.20%,44.00%,13.40%,44.90%,41.70%,8.80%,54.20%,37.10%,8.70%,53.70%,37.60%,8.50%,53.30%,38.20%,4109,1668,2441,0,3904,1829,2075,0,17547,10104,7353,90,18259,9556,8066,637,:,:,0.30%,0.30%,0.30%,:,:,0.20%,0.20%,0.20%,0.20%,0.20%,0.40%,0.40%,0.60%,0.20%,0.20%,0.50%,0.50%,0.80%,78%,21%,84%,16%,76%,22%,79%,20%,15%,36%,23%,16%,31%,25%,4%,7%,4%,11%,1%,8%,5%,13%,4%,7%,4%,11%,1%,8%,5%,13%,44%,10%,47%,9%,21%,70%,18%,73%
Ireland,IE,"$47,761.22 ","$50,992.45 ","$85,759.36 ","$90,405.34 ",21.50%,12.20%,37.10%,16.60%,9.60%,3.00%,20.50%,12.60%,35.60%,17.20%,10.80%,3.30%,24.00%,38.10%,38.00%,6.60%,62.70%,30.70%,9.10%,37.60%,53.40%,19.70%,37.00%,43.30%,9.40%,36.00%,54.60%,13.30%,35.50%,51.20%,24.20%,39.70%,36.20%,30.50%,37.70%,31.80%,38.30%,35.20%,26.50%,21.00%,38.30%,40.70%,5.90%,66.80%,27.30%,7.40%,37.10%,55.40%,16.30%,36.40%,47.30%,8.40%,36.10%,55.40%,10.20%,35.40%,54.40%,19.00%,37.10%,44.00%,24.80%,36.50%,38.60%,31.90%,35.90%,32.20%,65539,22315,43224,0,73519,23173,50346,0,97712,31319,66393,0,85630,27691,57939,0,1.90%,2.40%,1.90%,1.30%,3.70%,1.70%,2.20%,1.90%,1.40%,3.60%,2.30%,2.80%,3.20%,2.70%,5.40%,2.20%,2.70%,3.50%,3.00%,5.60%,90%,10%,93%,7%,74%,25%,85%,14%,22%,48%,14%,24%,49%,10%,4%,14%,4%,4%,4%,17%,7%,33%,4%,14%,4%,4%,4%,17%,7%,33%,41%,17%,63%,10%,24%,65%,30%,62%
Greece,EL,"$25,895.90 ","$26,541.28 ","$29,761.28 ","$30,887.69 ",14.60%,10.40%,35.50%,19.00%,14.50%,6.00%,14.30%,10.20%,33.10%,20.30%,14.90%,7.10%,33.10%,42.20%,24.60%,11.60%,77.30%,11.20%,17.70%,43.60%,38.70%,31.60%,40.30%,28.10%,19.90%,42.90%,37.20%,24.90%,48.00%,27.10%,35.30%,39.10%,25.60%,42.20%,34.30%,23.50%,50.20%,28.70%,21.10%,25.90%,46.30%,27.80%,5.50%,84.10%,10.40%,10.20%,47.40%,42.40%,23.20%,44.90%,31.90%,11.90%,45.00%,43.10%,17.60%,47.90%,34.50%,23.70%,47.10%,29.20%,31.30%,42.30%,26.40%,40.10%,36.80%,23.10%,57946,31779,26167,0,59013,35547,23466,0,119489,37252,82237,0,129459,35364,94095,0,0.20%,0.30%,0.60%,0.60%,0.90%,0.20%,0.20%,0.50%,0.50%,0.70%,0.10%,0.10%,0.30%,0.30%,0.40%,0.10%,0.10%,0.40%,0.40%,0.50%,43%,57%,50%,50%,49%,51%,57%,43%,25%,31%,20%,26%,29%,24%,2%,1%,4%,3%,3%,6%,3%,6%,2%,1%,4%,3%,3%,6%,3%,6%,22%,44%,33%,28%,41%,54%,34%,60%
Spain,ES,"$32,452.66 ","$33,544.36 ","$41,328.35 ","$42,600.44 ",15.20%,9.70%,38.20%,18.70%,12.40%,5.70%,14.80%,9.80%,35.30%,20.70%,13.30%,6.10%,44.50%,23.90%,31.70%,34.20%,44.90%,20.90%,34.40%,24.10%,41.50%,43.40%,21.90%,34.70%,33.30%,24.40%,42.30%,34.60%,22.70%,42.80%,47.00%,22.70%,30.20%,53.30%,20.40%,26.30%,61.40%,17.40%,21.20%,39.60%,25.30%,35.10%,26.00%,50.40%,23.60%,30.20%,23.30%,46.50%,38.70%,22.70%,38.60%,32.70%,22.70%,44.70%,32.20%,23.40%,44.40%,39.80%,23.00%,37.20%,45.50%,22.10%,32.40%,52.30%,21.00%,26.70%,280772,85466,195306,0,305454,94959,210495,0,643684,120704,522980,0,750480,120198,630282,0,0.30%,0.40%,1.10%,1.10%,1.40%,0.30%,0.40%,0.90%,0.90%,1.20%,0.40%,0.50%,1.40%,1.30%,1.80%,0.50%,0.50%,2.00%,1.90%,2.40%,74%,26%,85%,15%,71%,28%,87%,13%,40%,30%,10%,41%,28%,14%,2%,9%,2%,3%,2%,12%,4%,21%,2%,9%,2%,3%,2%,12%,4%,21%,25%,29%,44%,13%,23%,60%,27%,65%
France,FR,"$40,951.51 ","$41,576.11 ","$48,198.44 ","$49,768.90 ",18.60%,11.90%,32.20%,19.30%,12.30%,5.70%,18.00%,11.80%,31.00%,19.20%,13.90%,6.10%,26.50%,43.70%,29.80%,11.90%,58.70%,29.40%,13.80%,41.90%,44.30%,23.30%,43.50%,33.20%,14.00%,42.40%,43.70%,16.90%,41.80%,41.30%,25.70%,48.00%,26.30%,30.90%,45.10%,24.00%,36.50%,42.10%,21.50%,23.40%,42.80%,33.80%,11.50%,56.00%,32.50%,12.50%,39.30%,48.20%,19.50%,42.50%,38.00%,12.70%,39.80%,47.50%,14.40%,39.70%,45.90%,19.90%,45.50%,34.60%,25.00%,45.30%,29.70%,30.50%,45.00%,24.50%,338752,116522,222230,0,340383,110090,230293,0,387158,108645,278513,0,385591,104311,281280,0,0.30%,0.30%,0.90%,0.80%,1.10%,0.20%,0.30%,0.90%,0.80%,1.10%,0.30%,0.30%,1.00%,1.00%,1.30%,0.20%,0.30%,1.10%,1.10%,1.30%,85%,15%,85%,15%,63%,36%,64%,35%,30%,35%,19%,29%,31%,16%,8%,15%,8%,7%,5%,19%,5%,21%,8%,15%,8%,7%,5%,19%,5%,21%,38%,27%,36%,24%,25%,64%,32%,56%
