COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019,,
Greece,EL,ELLINIKI LYSI,-,-,ECR,"236,347",,
Greece,EL,MERA25,-,-,GUE/NGL*,"169,635",,
Greece,EL,PLEFSI ELEFTHERIAS,-,-,Left-Wing*,"90,927",,
Greece,EL,ELLADA - O ALLOS DROMOS,-,-,Unknown,"70,347",,
Greece,EL,POLITES TOU ILIA PSINAKI,-,-,Unknown,"51,398",,
Greece,EL,OIKOLOGOI PRASINOI,-,-,Greens/EFA*,"49,418",,
Greece,EL,ELEFTHERI PATRIDA,-,-,Right-Wing ?,"41,269",,
Greece,EL,DIMIOURGIA XANA!,-,-,Far-Right*,"39,217",,
Greece,EL,NEA DEXIA,-,-,Far-Right*,"37,540",,
Greece,EL,LAIKI ENOTITA - METOPO ANATROPIS,-,-,Left-Wing* & Pirate*,"31,648",,
Greece,EL,ELLINON SYNELEFSIS,-,-,Far-Right*,"29,509",,
Greece,EL,ENYPEKK - ORTHIA ELLADA,-,-,Unknown,"22,341",,
Greece,EL,KOMMA NEON,-,-,Unknown,"18,458",,
Greece,EL,DIMOKRATIKI EFTHYNI,-,-,Unknown,"18,207",,
Greece,EL,NEA ELLINIKI ORMI,-,-,Unknown,"12,278",,
Greece,EL,ETHNIKO METOPO - PATRIOTIKOS SYNDESMOS - LIONTARIA - SYNERGEIA GIA TIN ELLADA,-,-,Far-Right ?,"10,742",,
Greece,EL,LAIKES EVROPAIKES KOINONIKES OMADES,-,-,Unknown,"10,264",,
Greece,EL,ARMA SYNERGASIAS GIA TIN EVROPI TON ETHNON,-,-,Unknown,"9,893",,
Greece,EL,ELLINES RIZOSPASTES,-,-,Unknown,"9,242",,
Greece,EL,EVROPAIKI ELEFTHERI SYMMACHIA - OURANIO TOXO,-,-,Greens/EFA*,"6,364",,
Greece,EL,FILELEFTHERI SYMMACHIA,-,-,Liberal ?,"6,032",,
Greece,EL,LEFKO - AGROTIKO KOMMA ELLADAS - ENOSEIS POLITISMOU KAI ANAP,-,-,Unknown,"2,886",,
Greece,EL,ELLINIKO ORAMA,-,-,Unknown,"1,976",,
Greece,EL,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ,GUE/NGL,"1,518,376",GUE/NGL,"1,343,595",,
Greece,EL,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,EPP,"1,298,948",EPP,"1,873,137",,
Greece,EL,ΧΡΥΣΗ ΑΥΓΗ,NI - Far-Right,"536,913",NI - Far-Right,"275,734",,
Greece,EL,ΕΛΙΑ-ΔΗΜΟΚΡΑΤΙΚΗ ΠΑΡΑΤΑΞΗ,S&D,"458,514",S&D,"436,726",,
Greece,EL,ΤΟ ΠΟΤΑΜΙ,S&D,"377,662",S&D*,"85,934",,
Greece,EL,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΟΣ,NI - Far -Left,"349,342",NI - Far -Left,"302,603",,
Greece,EL,ΑΝΕΞΑΡΤΗΤΟΙ ΕΛΛΗΝΕΣ,ECR,"197,837",ECR,"45,148",,
Greece,EL,ΛΑΪΚΟΣ ΟΡΘΟΔΟΞΟΣ ΣΥΝΑΓΕΡΜΟΣ,Far-Right*,"154,029",Far-Right*,"69,779",,
Greece,EL,ΕΛΛΗΝΕΣ ΕΥΡΩΠΑΙΟΙ ΠΟΛΙΤΕΣ,Center ?,"82,381",-,-,,
Greece,EL,ΔΗΜΟΚΡΑΤΙΚΗ ΑΡΙΣΤΕΡΑ,Left-Wing ?,"68,630",-,-,,
Greece,EL,ΕΝΩΣΗ ΓΙΑ ΤΗΝ ΠΑΤΡΙΔΑ ΚΑΙ ΤΟΝ ΛΑΟ,Right-Wing ?,"59,482",-,-,,
Greece,EL,ΚΟΜΜΑ ΕΛΛΗΝΩΝ ΚΥΝΗΓΩΝ,Unknown,"56,851",-,-,,
Greece,EL,ΓΕΦΥΡΕΣ-ΔΗΜΙΟΥΡΓΙΑ ΞΑΝΑ,Unknown,"51,738",-,-,,
Greece,EL,ΟΙΚΟΛΟΓΟΙ ΠΡΑΣΙΝΟΙ-ΚΟΜΜΑ ΠΕΙΡΑΤΩΝ ΕΛΛΑΔΟΣ,Greens/EFA*,"51,703",-,-,,
Greece,EL,ΕΝΙΑΙΟ ΠΑΛΛΑΪΚΌ ΜΕΤΩΠΟ,Right-Wing*,"49,334",-,-,,
Greece,EL,ΚΟΜΜΑ ΙΣΟΤΗΤΑΣ ΕΙΡΗΝΗΣ ΚΑΙ ΦΙΛΙΑΣ,Greens/EFA ?,"42,792",Greens/EFA ?,"40,211",,
Greece,EL,ΠΑΝΑΘΗΝΑΪΚΟ ΚΙΝΗΜΑ,Unknown,"42,252",-,-,,
Greece,EL,ΑΝΤΙΚΑΠΙΤΑΛΙΣΤΙΚΗ ΑΡΙΣΤΕΡΗ ΣΥΝΕΡΓΑΣΙΑ,Far-Left*,"41,299",Far-Left*,"36,361",,
Greece,EL,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,Center ?,"36,804",Center ?,"82,084",,
Greece,EL,ΚΟΙΝΩΝΙΑ,Unknown,"34,487",-,-,,
Greece,EL,ΑΓΡΟΤΙΚΟ ΚΤΗΝΟΤΡΟΦΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Unknown,"32,356",Unknown,"32,014",,
Greece,EL,ΠΡΑΣΙΝΟΙ-ΑΛΛΗΛΕΓΓΥΗ-ΔΗΜΙΟΥΡΓΙΑ-ΟΙΚΟΛΟΓΙΑ,Green ?,"28,365",Green ?,"25,245",,
Greece,EL,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ,Unknown,"20,856",-,-,,
Greece,EL,ΣΥΝΔΕΣΜΟΣ ΕΘΝΙΚΗΣ ΕΝΟΤΗΤΑΣ,Unknown,"17,146",-,-,,
Greece,EL,ΣΧΕΔΙΟ Β,Unknown,"11,307",-,-,,
Greece,EL,ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΟΜΜΑ,Left-Wing ?,"11,106",-,-,,
Greece,EL,ΜΑΡΞΙΣΤΙΚΟ-ΛΕΝΙΝΙΣΤΙΚΟ ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΟΣ,Far-Left ?,"10,771",Far-Left ?,"12,231",,
Greece,EL,ΚΟΛΛΑΤΟΣ-ΑΝΕΞΑΡΤΗΤΟ ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ,Unknown,"8,978",Unknown,"3,065",,
Greece,EL,ΛΑΪΚΕΣ ΕΥΡΩΠΑΪΚΕΣ ΚΟΙΝΩΝΙΚΕΣ ΟΜΑΔΕΣ,Unknown,"8,899",-,-,,
Greece,EL,ΕΘΝΙΚΟ ΜΕΤΩΠΟ,Right-Wing ?,"8,783",-,-,,
Greece,EL,ΔΡΑΧΜΗ,Unknown,"8,724",-,-,,
Greece,EL,ΕΛΠΙΔΑ ΠΟΛΙΤΕΙΑΣ,Unknown,"6,801",-,-,,
Greece,EL,ΕΥΡΩΠΑΪΚΗ ΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ-ΟΥΡΑΝΙΟ ΤΟΞΟ,Greens/EFA*,"5,737",-,-,,
Greece,EL,ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,Green ?,"5,608",Green ?,"11,511",,
Greece,EL,ΠΑΤΡΙΩΤΙΚΗ ΕΝΩΣΗ,Right-Wing ?,"4,614",-,-,,
Greece,EL,ΕΕΚ ΤΡΟΤΣΚΙΣΤΕΣ,Far-Left ?,"4,496",-,-,,
Greece,EL,ΑΓΩΝΙΣΤΙΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ ΕΛΛΑΔΑΣ,Left-Wing ?,"3,627",-,-,,
Greece,EL,ΟΡΓΑΝΩΣΗ ΚΟΜΜΟΥΝΙΣΤΩΝ ΔΙΕΘΝΙΣΤΩΝ ΕΛΛΑΔΟΣ,Far-Left ?,"3,045",Far-Left ?,"4,803",,
Greece,EL,ΟΡΓΑΝΩΣΗ ΓΙΑ ΤΗΝ ΑΝΑΣΥΓΚΡΟΤΗΣΗ ΤΟΥ ΚΚΕ,Far-Left ?,"2,872",-,-,,
Greece,EL,ΚΙΝΗΜΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ,Unknown,"2,383",-,-,,
Greece,EL,ΠΑΕΚΕ,Unknown,63,-,-,,
Greece,EL,ΕΘΝΙΚΗ ΑΥΓΗ,Far-Right ?,62,-,-,,
Greece,EL,ΕΛΕΥΘΕΡΙΑ,Unknown,12,-,-,,
